dataset,run,value,hierarchy_level,condition
"(3,4)",0,0.926154987254081,0,fine
"(3,4)",0,0.9635750577325904,1,fine
"(3,4)",0,0.9748878868015921,2,fine
"(3,8)",0,0.903960131197827,0,fine
"(3,8)",0,0.9153343994853741,1,fine
"(3,8)",0,0.9067723644235619,2,fine
"(3,16)",0,0.8372697883925933,0,fine
"(3,16)",0,0.8525113514941173,1,fine
"(3,16)",0,0.8312657872805174,2,fine
"(4,4)",0,0.8439343836241119,0,fine
"(4,4)",0,0.8969111094328224,1,fine
"(4,4)",0,0.9050338897387455,2,fine
"(4,4)",0,0.9149925698725584,3,fine
"(4,8)",0,0.8667222115947764,0,fine
"(4,8)",0,0.9040036931631525,1,fine
"(4,8)",0,0.9065463185430535,2,fine
"(4,8)",0,0.8943806835143422,3,fine
"(5,4)",0,0.8865133916191751,0,fine
"(5,4)",0,0.9374886243270312,1,fine
"(5,4)",0,0.9508144261286594,2,fine
"(5,4)",0,0.9545686426941175,3,fine
"(5,4)",0,0.9599520629823224,4,fine
"(3,4)",1,1.0,0,fine
"(3,4)",1,0.9634724493077879,1,fine
"(3,4)",1,0.9696207326442888,2,fine
"(3,8)",1,0.8980868433441433,0,fine
"(3,8)",1,0.9323413604025184,1,fine
"(3,8)",1,0.9174308945828766,2,fine
"(3,16)",1,0.8220147852529478,0,fine
"(3,16)",1,0.8344505120850253,1,fine
"(3,16)",1,0.7983962358401954,2,fine
"(4,4)",1,0.9055745459282318,0,fine
"(4,4)",1,0.9352209543129892,1,fine
"(4,4)",1,0.9374848356483546,2,fine
"(4,4)",1,0.9448910597859763,3,fine
"(4,8)",1,0.8207118145595796,0,fine
"(4,8)",1,0.8871477907999477,1,fine
"(4,8)",1,0.8914545565223333,2,fine
"(4,8)",1,0.878800346677959,3,fine
"(5,4)",1,0.9489407524542861,0,fine
"(5,4)",1,0.9599605050267482,1,fine
"(5,4)",1,0.9702404614040641,2,fine
"(5,4)",1,0.9750122472514533,3,fine
"(5,4)",1,0.9775134098816333,4,fine
"(3,4)",2,0.973125172716037,0,fine
"(3,4)",2,0.9356367903961411,1,fine
"(3,4)",2,0.9597143664713637,2,fine
"(3,8)",2,0.9117963949330197,0,fine
"(3,8)",2,0.8976355497724868,1,fine
"(3,8)",2,0.8932349596986425,2,fine
"(3,16)",2,0.7874292256535143,0,fine
"(3,16)",2,0.8256882835218791,1,fine
"(3,16)",2,0.8025869812497531,2,fine
"(4,4)",2,0.8598131912798204,0,fine
"(4,4)",2,0.9177570834723047,1,fine
"(4,4)",2,0.9152255886292523,2,fine
"(4,4)",2,0.9186005817425045,3,fine
"(4,8)",2,0.9021387224951037,0,fine
"(4,8)",2,0.9356747053527875,1,fine
"(4,8)",2,0.9399331094658727,2,fine
"(4,8)",2,0.9331877966781218,3,fine
"(5,4)",2,0.9042852727478933,0,fine
