message,count,symbols,fixed attribute values
"(1, 1, 1, 0)",4,"{(1,)}","{(14, '?', '?')}"
"(1, 1, 5, 0)",3,"{(1, 5)}","{('?', '?', '?')}"
"(1, 1, 6, 0)",1,"{(1, 6)}","{(9, 9, 6)}"
"(1, 1, 19, 0)",1,"{(1, 19)}","{('?', 4, 6)}"
"(1, 1, 24, 0)",1,"{(24, 1)}","{(15, 9, 5)}"
"(1, 1, 32, 0)",1,"{(32, 1)}","{(15, 4, 5)}"
"(1, 1, 47, 0)",1,"{(1, 47)}","{(14, 4, 5)}"
"(1, 2, 2, 0)",10,"{(1, 2)}","{('?', '?', '?')}"
"(1, 2, 5, 0)",7,"{(1, 2, 5)}","{('?', '?', '?')}"
"(1, 2, 16, 0)",6,"{(16, 1, 2)}","{('?', '?', '?')}"
"(1, 2, 19, 0)",11,"{(1, 2, 19)}","{('?', '?', '?')}"
"(1, 3, 13, 0)",2,"{(1, 3, 13)}","{(9, 4, '?')}"
"(1, 3, 16, 0)",4,"{(16, 1, 3)}","{('?', '?', '?')}"
"(1, 5, 5, 0)",1,"{(1, 5)}","{('?', 4, 5)}"
"(1, 6, 1, 0)",8,"{(1, 6)}","{('?', '?', '?')}"
"(1, 6, 5, 0)",1,"{(1, 5, 6)}","{(9, 12, 2)}"
"(1, 6, 11, 0)",1,"{(1, 11, 6)}","{(9, 4, 5)}"
"(1, 6, 31, 0)",1,"{(1, 6, 31)}","{(0, 4, 5)}"
"(1, 12, 1, 0)",3,"{(1, 12)}","{('?', 4, '?')}"
"(1, 12, 2, 0)",2,"{(1, 2, 12)}","{(10, '?', 6)}"
"(1, 12, 5, 0)",5,"{(1, 12, 5)}","{('?', '?', '?')}"
"(1, 12, 6, 0)",7,"{(1, 12, 6)}","{('?', '?', '?')}"
"(1, 12, 9, 0)",11,"{(1, 12, 9)}","{('?', '?', '?')}"
"(1, 12, 12, 0)",1,"{(1, 12)}","{(10, 4, 5)}"
"(1, 13, 5, 0)",2,"{(1, 5, 13)}","{(9, '?', '?')}"
"(1, 13, 16, 0)",3,"{(16, 1, 13)}","{('?', 9, '?')}"
"(1, 16, 5, 0)",4,"{(16, 1, 5)}","{('?', '?', '?')}"
"(1, 16, 16, 0)",2,"{(16, 1)}","{('?', '?', '?')}"
"(1, 16, 46, 0)",1,"{(16, 1, 46)}","{(15, 9, 10)}"
"(1, 19, 2, 0)",2,"{(1, 2, 19)}","{(13, '?', '?')}"
"(1, 19, 19, 0)",4,"{(1, 19)}","{(13, '?', '?')}"
"(1, 24, 1, 0)",1,"{(24, 1)}","{(15, 4, 5)}"
"(1, 29, 16, 0)",1,"{(16, 1, 29)}","{(15, 4, 5)}"
"(1, 40, 10, 0)",1,"{(40, 1, 10)}","{(13, 9, 5)}"
"(1, 46, 16, 0)",4,"{(16, 1, 46)}","{(15, '?', '?')}"
"(1, 47, 1, 0)",1,"{(1, 47)}","{(14, 9, 6)}"
"(1, 47, 5, 0)",3,"{(1, 5, 47)}","{('?', '?', '?')}"
"(1, 51, 1, 0)",5,"{(1, 51)}","{('?', '?', '?')}"
"(1, 51, 16, 0)",1,"{(16, 1, 51)}","{(6, 4, 6)}"
